date,close,open
1995,29990838442,29650809414
1996,34231295297,35871003876
1997,36428383010,36958491532
1998,34331895104,34968343166
1999,34749062023,43754601740
2000,42650583711,47714911273
2001,44488510660,47028617828
2002,49955372641,52919359280
2003,60872311911,68878719608
2004,80193886807,92830917260
2005,98830377940,1.32413E+11
2006,1.22943E+11,1.67242E+11
2007,1.67581E+11,2.23427E+11
2008,2.10536E+11,2.99006E+11
2009,1.65687E+11,2.49696E+11
2010,2.05221E+11,3.24135E+11
2011,2.74869E+11,4.20581E+11
2012,2.73526E+11,4.49358E+11
2013,2.90346E+11,4.2023E+11
2014,2.92429E+11,4.21639E+11
2015,2.76301E+11,3.68858E+11
2016,2.61681E+11,3.39641E+11
2017,2.92347E+11,4.17553E+11
